序号,纬度,经度,河底高程,声呐高程
563,33.4895005,120.0750833,-0.09,5.73
564,33.489507,120.0750847,-0.14,5.77
565,33.4895138,120.0750862,-0.15,5.79
566,33.4895205,120.0750879,-0.21,5.82
567,33.489527,120.0750901,-0.35,5.96
568,33.4895336,120.0750918,-0.36,5.99
569,33.4895404,120.0750928,-0.41,6.05
570,33.4895473,120.0750942,-0.7,6.31
571,33.489554,120.0750957,-0.71,6.35
572,33.4895608,120.0750971,-0.8,6.42
573,33.4895676,120.0750985,-0.7,6.31
574,33.4895744,120.0750999,-0.65,6.27
575,33.4895813,120.0751013,-0.77,6.4
576,33.4895881,120.0751024,-0.69,6.29
577,33.4895948,120.0751037,-0.68,6.31
578,33.4896014,120.0751057,-0.64,6.25
579,33.489608,120.0751077,-0.57,6.18
580,33.4896145,120.0751096,-0.46,6.07
581,33.4896208,120.0751121,-0.35,5.98
582,33.489626,120.0751143,-0.31,5.93
583,33.4896324,120.0751168,-0.18,5.81
584,33.4896388,120.0751193,-0.08,5.74
585,33.4896455,120.075121,-0.05,5.7
586,33.489652,120.0751219,-0.06,5.68
587,33.4896586,120.0751234,0.01,5.63
588,33.4896653,120.075125,-2.50E-16,5.61
589,33.4896718,120.0751269,0.08,5.56
590,33.4896782,120.0751288,0.1,5.53
591,33.4896847,120.0751306,0.14,5.48
592,33.4896912,120.0751324,0.2,5.45
593,33.4896977,120.0751341,0.26,5.4
594,33.4897043,120.0751357,0.33,5.31
595,33.489711,120.0751374,0.38,5.32
596,33.4897175,120.0751391,0.41,5.24
597,33.489724,120.0751409,0.47,5.16
598,33.4897305,120.0751427,0.55,5.1
599,33.489737,120.0751447,0.64,5
600,33.4897433,120.0751467,0.73,4.94
601,33.4897499,120.0751486,0.79,4.87
602,33.4897562,120.0751505,0.9,4.82
603,33.4897628,120.0751522,0.95,4.71
604,33.4897692,120.075154,0.97,4.76
605,33.4897759,120.0751555,1.1,4.57
606,33.4897825,120.0751572,1.18,4.53
607,33.4897889,120.0751585,1.26,4.43
608,33.4897955,120.0751599,1.34,4.3
609,33.4898022,120.0751615,1.34,4.34
610,33.4898088,120.0751628,1.45,4.17
611,33.4898156,120.0751643,1.53,4.08
612,33.4898223,120.0751658,1.63,4.02
613,33.4898289,120.0751674,1.71,3.94
614,33.4898357,120.075169,1.77,3.87
615,33.4898423,120.0751705,1.81,3.84
616,33.489849,120.0751723,1.85,3.77
617,33.4898556,120.0751741,1.93,3.72
618,33.4898623,120.0751759,1.91,3.72
619,33.4898689,120.0751779,1.98,3.66
620,33.4898755,120.0751798,2.01,3.62
621,33.4898822,120.0751816,2.04,3.59
622,33.4898888,120.0751833,2.09,3.58
623,33.4898955,120.0751849,2.13,3.52
624,33.4899023,120.0751865,2.09,3.57
625,33.489909,120.0751881,2.12,3.5
626,33.4899156,120.0751899,2.13,3.51
627,33.4899222,120.0751917,2.14,3.5
628,33.4899289,120.0751933,2.05,3.54
629,33.4899355,120.075195,2.01,3.56
630,33.4899421,120.0751968,2.04,3.56
631,33.4899488,120.0751985,1.99,3.59
632,33.4899553,120.0752004,1.91,3.68
633,33.489962,120.0752022,1.93,3.64
634,33.4899685,120.0752042,1.88,3.71
635,33.489975,120.0752062,1.86,3.71
636,33.4899815,120.0752083,1.87,3.75
637,33.4899879,120.0752102,1.84,3.77
638,33.489993,120.0752118,1.88,3.75
639,33.4899996,120.0752135,1.78,3.82
643,33.4900255,120.0752203,4.53,1.02
644,33.490032,120.0752221,4.55,0.99
645,33.4900384,120.0752241,4.64,0.98
646,33.490045,120.075226,4.45,1.15
647,33.4900521,120.0752268,4.52,1.12
648,33.4900583,120.0752243,4.33,1.28
649,33.4900631,120.0752198,4.29,1.31
650,33.4900677,120.0752139,4.27,1.33
651,33.4900718,120.0752076,4.33,1.31
652,33.4900758,120.0752013,4.3,1.32
653,33.4900796,120.0751948,4.22,1.41
654,33.4900834,120.0751884,4.15,1.48
655,33.4900873,120.075182,4.14,1.49
656,33.4900913,120.0751759,4.15,1.48
657,33.4900956,120.0751693,4.22,1.39
658,33.4901003,120.0751628,4.09,1.47
659,33.4901047,120.075157,4.07,1.45
660,33.490109,120.0751513,4.02,1.56
661,33.4901134,120.0751457,3.86,1.67
662,33.4901177,120.0751399,3.84,1.71
663,33.4901222,120.0751341,3.86,1.7
664,33.4901265,120.0751278,4.01,1.6
665,33.490131,120.0751221,4.15,1.47
666,33.4901356,120.0751166,4.1,1.5
667,33.4901404,120.0751109,3.73,1.82
668,33.4901455,120.0751053,3.57,2
669,33.4901505,120.0750994,3.53,1.99
670,33.4901546,120.0750936,3.53,2.09
671,33.4901591,120.0750876,3.52,2.06
672,33.4901636,120.0750816,3.54,2.02
673,33.490168,120.0750755,3.57,2
674,33.4901725,120.0750693,3.56,2.01
675,33.4901766,120.0750638,3.61,2.04
676,33.4901808,120.0750576,3.58,2.05
677,33.4901853,120.0750517,3.46,2.15
678,33.490189,120.0750449,3.47,2.26
679,33.4901933,120.0750387,3.46,2.22
680,33.4901982,120.0750331,3.42,2.16
681,33.4902027,120.0750268,3.42,2.15
682,33.4902073,120.0750206,3.48,2.16
683,33.4902116,120.0750144,3.57,2.05
684,33.4902166,120.075008,3.71,1.96
685,33.4902204,120.0750004,3.9,1.79
686,33.4902213,120.0749915,4.08,1.53
687,33.4902183,120.0749819,3.26,2.27
688,33.4902133,120.0749768,2.46,3.01
689,33.4902081,120.074975,1.72,3.66
690,33.4902019,120.0749742,1.15,4.1
691,33.4901943,120.0749746,1.03,4.28
692,33.4901871,120.0749752,1.38,4.12
693,33.4901814,120.0749751,1.3,4.02
694,33.4901766,120.0749749,1.25,3.96
695,33.4901697,120.0749747,1.45,3.92
696,33.4901637,120.074974,1.39,3.87
697,33.4901567,120.0749734,1.54,3.81
698,33.4901508,120.0749719,1.39,3.78
699,33.4901441,120.0749709,1.54,3.72
700,33.4901382,120.0749691,1.39,3.71
701,33.4901321,120.0749682,1.74,3.67
702,33.4901264,120.0749664,1.61,3.66
703,33.4901197,120.0749652,1.73,3.67
704,33.4901139,120.0749631,1.52,3.71
705,33.4901069,120.0749619,1.76,3.73
706,33.4901008,120.0749597,1.64,3.71
707,33.4900938,120.0749591,1.78,3.7
708,33.4900876,120.0749573,1.6,3.76
709,33.490081,120.0749564,1.58,3.8
710,33.4900747,120.0749545,1.44,3.82
711,33.4900677,120.0749537,1.56,3.82
712,33.4900611,120.0749521,1.41,3.88
713,33.4900541,120.0749515,1.5,3.94
714,33.4900476,120.0749499,1.36,3.99
715,33.4900406,120.0749498,1.47,4.05
716,33.4900342,120.0749482,1.28,4.13
717,33.4900275,120.0749473,1.24,4.2
718,33.4900209,120.0749455,1.11,4.22
719,33.4900141,120.0749446,1.07,4.34
720,33.4900074,120.0749433,0.95,4.41
721,33.4900005,120.0749429,0.92,4.48
722,33.4899937,120.0749414,0.72,4.56
723,33.4899868,120.0749407,0.85,4.6
724,33.4899801,120.074939,0.6,4.72
725,33.4899733,120.0749378,0.75,4.79
726,33.4899668,120.0749357,0.57,4.9
727,33.4899602,120.0749345,0.52,4.96
728,33.4899535,120.0749325,0.33,5.1
729,33.4899467,120.0749313,0.31,5.19
730,33.48994,120.0749296,0.26,5.18
731,33.4899334,120.0749277,0.09,5.28
732,33.4899267,120.0749271,0.15,5.31
733,33.4899197,120.0749258,0.16,5.36
734,33.4899132,120.0749241,0.03,5.41
735,33.4899065,120.0749232,-0.09,5.56
736,33.4898998,120.0749217,-0.05,5.47
737,33.489893,120.0749204,-0.03,5.53
738,33.4898861,120.0749186,-0.16,5.59
739,33.4898793,120.0749174,-0.19,5.68
740,33.4898727,120.0749158,-0.29,5.7
741,33.489866,120.0749141,-0.23,5.69
742,33.4898593,120.074912,-0.34,5.8
743,33.4898529,120.0749107,-0.13,5.72
744,33.4898462,120.0749091,-0.19,5.75
745,33.4898396,120.0749076,-0.26,5.79
746,33.4898329,120.0749058,-0.28,5.83
747,33.4898265,120.0749043,-0.34,5.9
748,33.4898212,120.074903,-0.38,5.93
749,33.4898145,120.0749017,-0.58,6.11
750,33.4898078,120.0749003,-0.58,6.13
751,33.4898012,120.074899,-0.5,6.12
752,33.4897944,120.0748976,-0.45,6.09
753,33.4897879,120.0748961,-0.57,6.15
754,33.4897813,120.0748942,-0.62,6.23
755,33.4897749,120.0748921,-0.66,6.26
756,33.4897683,120.0748903,-0.6,6.26
757,33.4897617,120.0748887,-0.72,6.31
758,33.4897551,120.0748871,-0.71,6.29
759,33.4897485,120.074886,-0.78,6.36
760,33.4897418,120.0748846,-0.62,6.17
761,33.4897353,120.0748835,-0.48,6.05
762,33.4897286,120.0748823,-0.44,5.99
763,33.489722,120.074881,-0.34,5.91
764,33.4897152,120.0748796,-0.26,5.84
765,33.4897085,120.0748783,-0.23,5.81
766,33.4897017,120.0748769,-0.13,5.74
767,33.4896952,120.0748754,-0.11,5.71
768,33.4896885,120.0748738,-0.05,5.66
769,33.4896818,120.0748723,-0.04,5.63
770,33.489675,120.074871,0.01,5.62
771,33.4896684,120.0748698,0.11,5.56
772,33.4896616,120.0748686,0.17,5.51
