FID,Id,Latitude,Longitude
90,0,40.028902236800000,116.376132917999996
91,0,40.029006933100000,116.376946693999997
92,0,40.028516764199999,116.376922898999993
93,0,40.028226469899998,116.376941935000005
94,0,40.027798166899998,116.376965729999995
95,0,40.027395641500000,116.376982584000004
96,0,40.026833493799998,116.376860636999993
97,0,40.026173193399998,116.376604845000003
98,0,40.026116681200001,116.376337155000002
99,0,40.026119655499997,116.375968338999996
100,0,40.026283243400002,116.375605471000000
101,0,40.025947144600003,116.375703623999996
102,0,40.025851966099999,116.375400243000001
103,0,40.025822222899997,116.375108759000000
104,0,40.025762736300003,116.374796454000005
105,0,40.025563456500002,116.374353279999994
106,0,40.025373099600003,116.373609697999996
107,0,40.025599148399998,116.373053498999994
108,0,40.025902529699998,116.372898833999997
109,0,40.026179141999997,116.372179047000003
110,0,40.026571753100001,116.372098739999998
111,0,40.027026825000000,116.372568684000001
112,0,40.027234432999997,116.372739409999994
113,0,40.027412892500003,116.373046360999993
114,0,40.027555660200001,116.373224820000004
115,0,40.027726981400001,116.373496079000006
116,0,40.027773380900001,116.373728076000006
117,0,40.027741258200003,116.373956504999995
118,0,40.026816837600002,116.375582866000002
119,0,40.025688021299999,116.376952364999994
120,0,40.025945003099999,116.377676910999995
121,0,40.025994971700001,116.378497824999997
122,0,40.026740932800003,116.379136709999997
123,0,40.026530350500003,116.379889809999995
124,0,40.026990776200002,116.380121806999995
125,0,40.027540431699997,116.380546541000001
126,0,40.028582635600003,116.380767831000000
127,0,40.029342873399997,116.380460880000001
128,0,40.029314319800001,116.379993315999997
129,0,40.029197726200003,116.377887493000003
130,0,40.029238494300003,116.378934615000006
131,0,40.029330698499997,116.381684578000005
132,0,40.029438666499999,116.383368521999998
133,0,40.029478641399997,116.383993844000003
134,0,40.029575128600001,116.385299931000006
135,0,40.029262824299998,116.386459918000000
136,0,40.028620726800000,116.386943543000001
137,0,40.027764120800001,116.385829242000000
138,0,40.026996744599998,116.385861363999993
139,0,40.026272198800001,116.386792923000002
140,0,40.026031873199997,116.386496085999994
141,0,40.026204384099998,116.385913118000005
142,0,40.027266218599998,116.383979805999999
143,0,40.027215655100001,116.382906074000005
144,0,40.026965811700002,116.382317157000003
145,0,40.026305511200000,116.381701472000003
146,0,40.026174640900003,116.382171415000002
147,0,40.025669005399998,116.382284440000006
148,0,40.025273419999998,116.382891201999996
149,0,40.025017628000001,116.382736537000000
150,0,40.025401316000000,116.381329680999997
151,0,40.024906388200002,116.383457394999994
152,0,40.024737446400003,116.384156957000002
153,0,40.024682718800001,116.384954076000000
154,0,40.024699374999997,116.386058145999996
155,0,40.025265686799997,116.387521513999999
156,0,40.024322428799998,116.386550298000003
157,0,40.022490243800000,116.384807343000006
158,0,40.022091684099998,116.383272590000004
159,0,40.022823368300003,116.381922246000002
160,0,40.023025622500001,116.380964512999995
161,0,40.024197507099998,116.380565953000001
162,0,40.024643656000002,116.381261945999995
163,0,40.024518734300003,116.382302960000004
164,0,40.023929817700001,116.382713417000005
165,0,40.024024996100003,116.383338025000000
166,0,40.024251044899998,116.384075658000000
167,0,40.023156492900000,116.382713417000005
168,0,40.023073211700002,116.383944787999994
169,0,40.023590744499998,116.383724688000001
170,0,40.022383167999998,116.383183360000004
171,0,40.023632385100001,116.384599140000006
172,0,40.023168390199999,116.381642658999994
173,0,40.025315853700000,116.386532451999997
174,0,40.025309905100002,116.385128570000006
175,0,40.028732759699999,116.382379103000005
176,0,40.028290179999999,116.381532014000001
177,0,40.028233072900001,116.383721119000000
178,0,40.026971958600001,116.381408281999995
179,0,40.029241964400001,116.385381981999998
180,0,40.028085546299998,116.385577097999999
181,0,40.029213410899999,116.383411788999993
182,0,40.029004018300000,116.381446354000005
183,0,40.024891913099999,116.379359269000005
184,0,40.024295858099997,116.379162964000002
185,0,40.024570685900002,116.377460459000005
186,0,40.025152464100003,116.376043490000001
187,0,40.023789032899998,116.377064278999995
188,0,40.025023973200000,116.374091141999997
189,0,40.024952589400002,116.372920448000002
